Mã,Phần,Nhóm lớn,Nhóm nhỏ,Việc,Ưu tiên,Ưu tiên gốc,Chặn bởi,Sẵn sàng làm ngay,Trạng thái,Người làm,Ước lượng,Ghi chú
BE-001,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.1. src/app/api/lessons/[id]/assignments/route.ts (POST),Mở rộng findUnique hiện tại để include: { chapter: { include: { section: { include: { course: { select: { ownerId: true } } } } } } }.,P0,P0,,Có,Chưa làm,,,
BE-002,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.1. src/app/api/lessons/[id]/assignments/route.ts (POST),"Gọi ownsResource(auth, lesson.chapter.section.course.ownerId) ngay sau khi lấy được lesson, trả 403 nếu false — đúng pattern đã dùng ở 5 route chị em còn lại trong assignments/.",P0,P0,,Có,Chưa làm,,,
BE-003,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.1. src/app/api/lessons/[id]/assignments/route.ts (POST),"Thử tay: đăng nhập tài khoản teacher B, gọi POST vào 1 lesson thuộc course của teacher A → kỳ vọng 403.",P0,P0,,Có,Chưa làm,,,
BE-004,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.2. src/app/api/categories/route.ts (PUT),"Quyết định trước khi sửa: category tiếp tục dùng chung toàn nền tảng (chỉ admin_super/admin_content sửa) hay theo từng gia sư (phức tạp hơn, không khuyến nghị vì category chỉ là string trên Course, không có model riêng).",P0,P0,,Có,Chưa làm,,,
BE-005,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.2. src/app/api/categories/route.ts (PUT),"Nếu chọn dùng chung: đổi requirePermission(PERMISSIONS.MANAGE_COURSES) thành 1 quyền admin-only mới (không cấp cho adminRole: ""teacher""), hoặc thêm check session.adminRole !== ""teacher"" ngay đầu route.",P0,P0,,Có,Chưa làm,,,
BE-006,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.2. src/app/api/categories/route.ts (PUT),"Cập nhật src/lib/permissions.ts nếu thêm quyền mới, giữ nhất quán với ROLE_PERMISSIONS.",P0,P0,,Có,Chưa làm,,,
BE-007,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.3. src/app/api/deadlines/route.ts (nhánh admin),"Thay điều kiện if (session.role === ""admin"") bằng: admin_super/admin_content → không lọc ({}); teacher → { course: { ownerId: session.userId } } (dùng ownerScopeWhere có sẵn, áp qua quan hệ lesson.chapter.section.course).",P0,P0,,Có,Chưa làm,,,
BE-008,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.3. src/app/api/deadlines/route.ts (nhánh admin),Thử tay tương tự 1.1.1.,P0,P0,,Có,Chưa làm,,,
BE-009,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.4. src/app/api/admin/reviews/*,route.ts GET: thêm where: { course: ownerScopeWhere(session) }.,P0,P0,,Có,Chưa làm,,,
BE-010,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.4. src/app/api/admin/reviews/*,"[id]/route.ts PATCH/DELETE: findUnique lấy thêm course: { select: { ownerId: true } }, gọi requireOwnedResource(PERMISSIONS.MANAGE_COURSES, review.course.ownerId).",P0,P0,,Có,Chưa làm,,,
BE-011,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.5. Sau khi vá cả 4,Chạy /code-review trên diff 4 file này.,P0,P0,,Có,Chưa làm,,,
BE-012,Backend,"1.1. Vá bảo mật (P0 — làm ngay, độc lập với mọi thứ khác)",1.1.5. Sau khi vá cả 4,Test thủ công chéo (2 tài khoản teacher khác nhau) cho từng route.,P0,P0,,Có,Chưa làm,,,
BE-013,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,Xóa model CourseFavorite khỏi prisma/schema.prisma (kèm quan hệ courseFavorites trên User và Course).,P0,P0,,Có,Chưa làm,,,
BE-014,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,Xóa src/hooks/useFavorites.ts.,P0,P0,,Có,Chưa làm,,,
BE-015,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,"Xóa src/app/api/favorites/route.ts, src/app/api/favorites/[courseId]/route.ts.",P0,P0,,Có,Chưa làm,,,
BE-016,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,"grep -rn ""CourseFavorite\|useFavorites\|api/favorites"" toàn repo, xác nhận sạch.",P0,P0,,Có,Chưa làm,,,
BE-017,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,npm run db:generate trên môi trường có mạng đầy đủ (bắt buộc — không chạy được trong phiên làm việc này do egress bị chặn tới binaries.prisma.sh).,P0,P0,,Có,Chưa làm,,,
BE-018,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,npx tsc --noEmit xác nhận toàn bộ thay đổi từ trước tới giờ (ParentLink/ParentConsent/AuditLog/dateOfBirth/xóa favorites) biên dịch sạch.,P0,P0,,Có,Chưa làm,,,
BE-019,Backend,"1.2. Dọn code thừa/chết (P0 — an toàn, không phụ thuộc quyết định gì)",1.1.5. Sau khi vá cả 4,npx prisma db push lên staging.,P0,P0,,Có,Chưa làm,,,
BE-033,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","CoinTransaction.sourceType: String — giá trị: ""topup"" | ""reward"" | ""class_subscription"" | ""refund"" | ""penalty"" (mở rộng từ 4 giá trị reason cứng hiện có).",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-034,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","CoinTransaction.classId: String? — FK tới Course (hoặc Class nếu D01/D02 chọn tách bảng), nullable cho giao dịch không gắn lớp (vd signup_bonus).",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-035,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","Thêm @@index([classId]), @@index([sourceType]).",P0,P0,"D01, D02",Không,Bị chặn,,,
