Mã,Dòng trong sheet gốc,Câu hỏi,Đề xuất,Vì sao,Lưu ý,Số việc đang chặn,QUYẾT ĐỊNH CỦA ANH,Ngày chốt
D01,BE-020,Gói theo lớp: một giá hay nhiều gói?,Đúng hai loại — theo tháng và theo khoá. Không cho tạo tự do.,"Một giá không phục vụ được cả học đều lẫn học dồn. Tự do thì học viên phải so sánh sáu gói của sáu gia sư và bỏ đi. Schema BE-055 đã đủ cho cả ba, chỉ thêm ràng buộc ở tầng API.",PHẢI chốt cảnh báo Coin trước — xem README mục Đọc trước.,26,,
D02,BE-021,"Một gia sư một lớp, hay nhiều gia sư đồng dạy?",Một. Hoãn đồng dạy.,"Phân quyền hiện xoay quanh một ownerId duy nhất. Cho đồng dạy là mọi lệnh kiểm tra quyền thành phép join, sửa hàng chục chỗ, mỗi chỗ một cơ hội lọt quyền — đúng loại lỗi đang phải vá ở 1.1. Khảo sát: 79% gia sư dạy 1–3 học sinh một mình.",Đổi ý khi có trung tâm từ 3 giáo viên dùng thật.,24,,
D03,BE-022,Một tài khoản nhiều vai trò?,Có. Kèm luật cứng: không ai vừa là gia sư vừa là học viên của CÙNG một lớp.,"Học sinh HSA đỗ rồi quay lại làm gia sư là trường hợp có thật; bắt tạo tài khoản mới là mất lịch sử học. Không có luật cứng thì gia sư tự ghi danh lớp mình, tự chấm bài mình, tự đánh giá mình.","SessionPayload.roles thành mảng. Làm sớm thì rẻ, gộp tài khoản sau thì rất đắt.",1,,
D04,BE-023,Ngưỡng tuổi cần phụ huynh xác nhận,16 — giữ đúng giả định đang có. VÀ thêm cột selfConsentAt.,"Luật Trẻ em 2016 lấy mốc dưới 16. Nghị định 13/2023 còn yêu cầu trẻ TỪ 7 TUỔI phải tự đồng ý CÙNG người giám hộ — hiện mới có ParentConsent, chưa có chỗ ghi nhận trẻ tự đồng ý.","Vế đồng ý kép cần luật sư xác nhận. Gộp chung với hai câu đang treo, hỏi một lần.",1,,
D05,BE-024,Trừ Coin thưởng hay Coin nạp trước?,"Trừ Coin thưởng trước. Coin thưởng hạn 90 ngày, Coin nạp không hết hạn.","Coin nạp là tiền thật đã trả, về kế toán là khoản phải trả. Coin thưởng là chi phí marketing. Trừ chi phí trước, giữ nợ lại sau thì số dư hoàn lại luôn đúng.","HỆ QUẢ SCHEMA: ví phải có hai số dư tách bạch, không phải một số nguyên balance. Phải nằm trong 1.4.1.",2,,
D06,BE-025,Dữ liệu parentPhone/parentName cũ,Khoá ghi ngay. Hiện chỉ đọc kèm lời mời liên kết. Sau 90 ngày xoá cột.,"Dữ liệu cá nhân của phụ huynh, do học sinh tự khai, chưa ai xác minh. Nghị định 13: chỉ giữ chừng nào còn phục vụ mục đích đã nêu.",BẪY: đừng tự động chuyển parentPhone cũ thành ParentLink đã xác minh. Làm vậy là chữ 'đã xác minh' mất nghĩa ngay từ ngày đầu.,1,,
D07,BE-026,Assignment có cần courseId riêng?,Không. Đi qua quan hệ Lesson → Chapter → Section → Course.,"Thêm courseId là tạo nguồn sự thật thứ hai. Ngày nào đó nó lệch, và không ai biết bên nào đúng.","Nếu sau đo được truy vấn chậm thật thì thêm như bộ nhớ đệm, chỉ ghi bởi đúng đoạn code đặt lessonId.",0,,
D08,BE-027,Đánh giá theo lớp hay theo gia sư?,"Thu theo lớp, hiển thị tổng hợp theo gia sư. Không phải chọn một.","Ghi theo lớp vì phải kẹp được vào Enrollment có thật — đó là thứ duy nhất chặn đánh giá giả. Hiện theo gia sư vì mở lớp mới mà mất sạch uy tín thì hệ thống đánh giá vô dụng, và huy hiệu trên diễn đàn phải là số của con người.","Giữ CourseReview làm mô hình ghi, thêm lớp đọc tổng hợp theo Course.ownerId.",13,,
D09,BE-028,Hai luồng AI,ĐÃ CHỐT — không cần làm gì thêm.,"Sheet gốc đã ghi đã chốt nhưng trạng thái vẫn để 'Chờ quyết định', làm người đọc tưởng còn phải đợi.",Chỉ cần đổi trạng thái.,0,,
D10,BE-029,Gia hạn gói thủ công hay tự động?,Thủ công. Nhắc trước 3 ngày bằng tin Zalo có nút.,"Tự trừ tiền mà không có hành động mới của người dùng là kiểu sinh khiếu nại nhiều nhất, ở đây lại là tiền phụ huynh nạp trước cho con. Tự động còn kéo theo xử lý thất bại, nhắc nợ, hoàn tiền, huỷ giữa kỳ — bốn thứ chưa có trong backlog.",Đổi ý khi có trên 100 gói đang chạy và tỉ lệ gia hạn thủ công dưới 50%.,1,,
D11,BE-030,ExamGuestAccess giữ hay bỏ?,"Giữ, và nâng thành cổng thu hút.","Đây là cơ chế duy nhất đang có cho người lạ chạm vào sản phẩm mà không phải đăng ký. Đề thi thử miễn phí là mồi mạnh nhất ngành luyện thi, ghép thẳng vào luồng mời học thử.",Giới hạn một lượt thi khách mỗi số điện thoại mỗi tháng. Thu tối thiểu thông tin cá nhân.,1,,
D12,BE-031,SalesLead / Sales Bot?,Câu hỏi đặt sai chỗ. Việc gấp: cắt quyền ghi thẳng vào DB của service Python.,"Service ngoài ghi qua psycopg2 đi vòng qua toàn bộ phân quyền, validate và ghi nhật ký. Vá bốn route ở 1.1 mà để cửa sau đó mở thì việc vá gần như vô nghĩa. Nó cũng làm mọi migration thành mìn.","Thứ tự: (1) cấp API + token riêng, thu quyền ghi DB — P0, làm cùng 1.1. (2) Sau mới bàn giữ tính năng. Phải báo người vận hành trước.",1,,
D13,BE-032,admin/students POST tách courseId ngay?,"Tách ngay, nâng P1 → P0, làm cùng các bản vá 1.1.","Đây không phải dọn dẹp mà là lỗ bảo mật. Route tạo tài khoản VÀ ghi danh trong một lệnh, bỏ qua cổng pending_consent. Ngay khi D04 được cài, nó thành đường cho trẻ 14 tuổi vào lớp mà phụ huynh chưa đồng ý.",Ca đặc biệt (học bổng) dùng ClassInvite.redeem nội bộ như BE-078 đã viết.,1,,
